scenario,label,output_ratio,s1,s2,metric,horizon,developed_irf,less_developed_irf,diff_irf
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,23,-0.00147894897214068,-0.00133951513412942,0.000139433838011266
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,24,-0.00135202824312497,-0.00126278017758777,8.92480655372008e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,25,-0.00122794115749,-0.00118919693606215,3.87442214278555e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,26,-0.00110796133274044,-0.001118381873426,-1.04205406855629e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,27,-0.000992735243003501,-0.00104967705719361,-5.6941814190109e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,28,-0.000882622878765976,-0.000982474954197288,-9.98520754313115e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,29,-0.000777895099254217,-0.000916381018424506,-0.000138485919170289
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,30,-0.000678823522686334,-0.000851259310983815,-0.000172435788297481
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,31,-0.000585699524853378,-0.000787204777550454,-0.000201505252697076
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,32,-0.000498813945652987,-0.000724478522506067,-0.00022566457685308
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,33,-0.000418421495158,-0.000663432805559305,-0.000245011310401305
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,34,-0.000344705808686591,-0.000604442885300205,-0.000259737076613614
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,35,-0.000277753994656238,-0.000547854640587514,-0.000270100645931276
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,36,-0.000217544023849214,-0.000493950742229327,-0.000276406718380112
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,37,-0.000163944585262005,-0.00044293410068455,-0.000278989515422545
